star_id,observation_id,instrument,ra_new,dec_new,vmag_new,counts,teff,vsini,logrhk,sval,bjd
T001136,cnr.697,apf,12.812328,64.855,9.52999973297119,189000000,,,-4.49413703753861,0.321283943797,2459391.85705879
219134,j875.184,hires_j,23.221382,57.168355,5.57000017166138,403520,,,-4.9926543958727,0.2262,2455750.12480892
77946,czn.684,apf,9.11851,46.67243,9.0,162000000,,,,,2459699.70507666
63935,cta.813,apf,7.8616778,9.3865,nan,430000000,,,-5.15523505346808,0.139096316085,2459530.84392474
158259,j375.487,hires_j,17.423349,52.790684,6.46999979019165,257576,,,-4.98407877802223,0.1602,2459029.87992947
102121,bva.599,apf,11.758706,65.540806,8.75,420000000,,,-4.64441466692625,0.289382940847,2458906.80432243
63935,bsx.087,apf,7.8616778,9.3865,nan,200000000,,,-4.99164084382556,0.165075772981,2458851.78235503
T001279,j417.102,hires_j,12.337525,56.201389,10.710000038147,60080,,,-4.99619880541545,0.1662,2459395.89369415
T001687,j363.514,hires_j,4.4556667,73.023611,10.5100002288818,10212,5815.34817394,15.3105932089,-4.55281778642999,0.2961,2458880.92375735
WASP-148,j414.302,hires_j,16.94203,44.30254,12.039999961853,40040,,,NaN,0.2561,2459374.88020313
95072,j416.669,hires_j,10.98515,40.98372,nan,250184,,,-5.04450509461114,0.1544,2459385.74717711
237566,cxe.585,apf,7.0055556,56.824167,9.40999984741211,159000000,,,,,2459638.69773101
75732,bak.299,apf,8.8766142,28.330819,nan,1000000000,,,-4.91709587523189,0.202506063848,2458027.97361993
75732,j274.144,hires_j,8.8766142,28.330819,nan,266168,,,-4.96188429376677,0.188,2458029.14536412
HTR155-001,j190.261,hires_j,19.847261,48.080307,nan,107204,,,-4.58954582508785,0.593,2456861.97842839
93963,csw.123,apf,10.85178,25.64106,9.18000030517578,131000000,,,,,2459526.96543884
155060,cvl.095,apf,17.132206,32.105583,nan,623000000,,,,,2459594.03544788
191939,cgm.386,apf,20.134869,66.850722,nan,435000000,,,-5.12342733417023,0.143660589262,2459204.5995745
T002101,j383.471,hires_j,17.74225,54.09097,11.210000038147,10016,5659.34487911,1.48487894403,NaN,0.1179,2459072.89511529
156141,dcp.283,apf,17.155258,71.876667,8.85999965667725,18100000,,,,,2459779.73840435
146757,cvm.325,apf,16.232589,63.533333,nan,149000000,,,,,2459595.05117047
219134,dfl.709,apf,23.221382,57.168355,5.57000017166138,1010000000,,,-4.90917425813384,0.269094241373,2459853.79861806
T001136,j365.97,hires_j,12.812328,64.855,9.52999973297119,250108,,,-4.55820716505144,0.2893,2458903.92558934
75732,j832.227,hires_j,8.8766142,28.330819,nan,405888,,,-5.04872320391765,0.1638,2455167.02717555
75732,j148.373,hires_j,8.8766142,28.330819,nan,256948,,,-5.08516658413497,0.155,2456019.88638566
75732,j201.369,hires_j,8.8766142,28.330819,nan,257304,,,-4.96810822294916,0.1861,2457199.74263439
T001258,but.707,apf,13.965622,79.583056,9.63000011444092,106000000,,,-5.04405087472448,0.148644095367,2458899.94323688
93963,cwn.093,apf,10.85178,25.64106,9.18000030517578,247000000,,,,,2459621.85660559
T001272,j447.233,hires_j,13.279747,49.860833,11.8780002593994,55612,,,-4.54197963859925,0.4584,2459593.062413
237566,chc.496,apf,7.0055556,56.824167,9.40999984741211,150000000,,,,,2459220.78772079
T001798,j401.421,hires_j,14.07293,46.51928,11.3599996566772,60040,,,-5.02537355428125,0.1716,2459269.04390821
T000561,j334.273,hires_j,9.8790111,6.2158333,10.25,92644,,,-5.11950496036464,0.1445,2458651.7695204
HTR155-001,j43.2140,hires_j,19.847261,48.080307,nan,334404,,,-4.60258959649854,0.576,2454336.95036134
146757,cyr.691,apf,16.232589,63.533333,nan,269000000,,,,,2459677.85250085
25463,j393.79,hires_j,4.0498472,9.2088889,nan,255916,,,,,2459162.00765196
T001794,j481.271,hires_j,13.55983,49.06084,10.3199996948242,60192,,,-5.0544213826676,0.1489,2459791.76311118
219134,alk.245,apf,23.221382,57.168355,5.57000017166138,701000000,,,-4.9322964928632,0.256376573383,2457274.82420226
T001347,j471.116,hires_j,18.688444,70.29,11.1700000762939,60024,,,-4.67004993612538,0.2874,2459748.07527249
T001246,j486.475,hires_j,16.741058,70.429722,11.6300001144409,60012,,,-5.06049335995101,0.1605,2459824.86398036
219134,j47.725,hires_j,23.221382,57.168355,5.57000017166138,400456,,,-4.88690459614076,0.282,2454398.80541836
T001798,j426.667,hires_j,14.07293,46.51928,11.3599996566772,60040,,,-4.95555632078222,0.1925,2459446.74116687
T001136,j453.129,hires_j,12.812328,64.855,9.52999973297119,250228,,,-4.54523595503396,0.2954,2459649.98246712
219134,j26.953,hires_j,23.221382,57.168355,5.57000017166138,405088,,,-4.81712944608465,0.327,2454085.83545256
T001246,j367.100,hires_j,16.741058,70.429722,11.6300001144409,43212,,,-5.11540470196186,0.148,2458995.87584643
T001538,j358.490,hires_j,23.799714,47.655556,10.3500003814697,125020,,,-4.868174826811,0.1852,2458845.81662192
75732,abg.273,apf,8.8766142,28.330819,nan,304000000,,,-5.0703740577095,0.158483168841,2456590.04033069
63935,dfy.726,apf,7.8616778,9.3865,nan,378000000,,,-5.10581740716083,0.145940560978,2459867.02254276
T001710,j442.94,hires_j,6.2855889,76.210833,9.53999996185303,60080,,,-4.80921577359543,0.1987,2459541.06170596
237566,crw.603,apf,7.0055556,56.824167,9.40999984741211,131000000,,,,,2459500.89189598
63433,buz.279,apf,7.8319616,27.363184,6.90999984741211,788000000,,,-4.39897647528548,0.38085866207,2458905.62605612
156141,cso.105,apf,17.155258,71.876667,8.85999965667725,542000000,,,,,2459519.00780617
75732,j81.1493,hires_j,8.8766142,28.330819,nan,257836,,,-5.01731404329059,0.172,2455193.1770323
237566,cmi.682,apf,7.0055556,56.824167,9.40999984741211,259000000,,,,,2459356.67865047
75732,j18.179,hires_j,8.8766142,28.330819,nan,198192,,,-4.94591940487611,0.193,2453837.81287233
93963,j457.67,hires_j,10.85178,25.64106,9.18000030517578,250172,,,-4.79114701995707,0.1949,2459671.96958806
95072,j420.373,hires_j,10.98515,40.98372,nan,251048,,,-5.01075384125734,0.1599,2459406.75746525
63935,bqf.620,apf,7.8616778,9.3865,nan,198000000,,,-5.07644494391816,0.150393301666,2458781.99158404
25463,j365.81,hires_j,4.0498472,9.2088889,nan,251864,,,-5.36474918811732,0.12,2458903.80457987
12572,j421.1147,hires_j,2.0602583,21.280611,nan,250592,,,-5.02442209265441,0.1574,2459418.09448316
146757,j434.272,hires_j,16.232589,63.533333,nan,240032,,,-5.13388947131296,0.1397,2459503.75799719
97658,aqk.188,apf,11.242545,25.710385,7.71400022506714,501000000,,,-4.90296416819304,0.193198539319,2457558.70189383
1300,bta.090,apf,0.29056667,42.281944,9.27000045776367,118000000,,,-5.04517120673583,0.148505551743,2458854.65795815
HIP97166,cfc.818,apf,19.749611,74.062667,9.85000038146973,65000000,,,-5.22398669178279,0.128528590825,2459169.02338049
75732,abm.234,apf,8.8766142,28.330819,nan,280000000,,,-4.97410812124669,0.184293987837,2456607.91153744
149026,j07.156,hires_j,16.508228,38.34731,8.14000034332275,150948,,,-5.01606541997413,0.155,2453479.0398957
T001669,j382.216,hires_j,3.0637639,83.587222,10.2200002670288,-1,,,-5.13824292535653,0.1414,2459068.07782495
219134,j13.1576,hires_j,23.221382,57.168355,5.57000017166138,500916,,,-4.87365233927572,0.29,2453695.85315684
332231,bvi.803,apf,20.449408,33.744167,8.5600004196167,167000000,,,-5.14461926714671,0.137502042317,2458914.99482902
219134,ass.223,apf,23.221382,57.168355,5.57000017166138,1200000000,,,-4.90705234496963,0.270295610585,2457670.62864491
102121,j371.679,hires_j,11.758706,65.540806,8.75,250356,,,-4.76867059179838,0.2352,2459013.79156461
25463,caw.109,apf,4.0498472,9.2088889,nan,1020000000,,,-5.2595506736432,0.126719264773,2459059.00860282
63935,bxh.685,apf,7.8616778,9.3865,nan,291000000,,,-5.14806962673961,0.14004109477,2458965.72373207
102121,bww.088,apf,11.758706,65.540806,8.75,253000000,,,-4.63240090439569,0.295490855009,2458954.73204113
93963,j446.112,hires_j,10.85178,25.64106,9.18000030517578,250196,,,-4.71067356155762,0.2155,2459587.92213659
155060,cls.495,apf,17.132206,32.105583,nan,845000000,,,,,2459340.76692317
HIP65469,j456.267,hires_j,13.41884,38.92237,9.97000026702881,106080,,,-4.41969000724956,0.7555,2459661.96373668
156141,cqn.413,apf,17.155258,71.876667,8.85999965667725,237000000,,,,,2459465.93423828
75732,j64.186,hires_j,8.8766142,28.330819,nan,259440,,,-4.9427956633027,0.194,2454839.04734585
T001443,j391.477,hires_j,19.826578,76.139167,10.6700000762939,60100,,,-5.05444427778686,0.1591,2459153.8417223
T001436,j429.970,hires_j,14.373478,55.334167,12.0100002288818,50048,,,-4.8335963206514,0.2492,2459476.7322578
332231,buh.436,apf,20.449408,33.744167,8.5600004196167,210000000,,,-5.35531327918526,0.121065202831,2458888.09100548
154840,bzq.703,apf,17.075917,56.8425,9.17000007629395,196000000,,,-5.27814032788457,0.126575871517,2459026.92736291
63433,buz.278,apf,7.8319616,27.363184,6.90999984741211,819000000,,,-4.4089916423317,0.37417372951,2458905.61860312
25463,j395.155,hires_j,4.0498472,9.2088889,nan,255744,,,-5.22635903213813,0.1292,2459187.96156339
158259,j377.487,hires_j,17.423349,52.790684,6.46999979019165,254304,,,-4.96587989294279,0.1631,2459040.82722122
158259,bzy.701,apf,17.423349,52.790684,6.46999979019165,1040000000,,,-5.08294068270276,0.14640386896,2459034.87016667
HTR155-001,j195.263,hires_j,19.847261,48.080307,nan,125072,,,-4.61676096909413,0.5581,2457001.73547675
219134,j94.117,hires_j,23.221382,57.168355,5.57000017166138,253480,,,-4.96400801233035,0.24,2455396.08876679
T001798,j471.477,hires_j,14.07293,46.51928,11.3599996566772,60016,,,-5.16407646584592,0.2082,2459749.83544718
97658,axc.188,apf,11.242545,25.710385,7.71400022506714,500000000,,,-4.97074131751624,0.175349202487,2457872.67183929
T001410,j374.111,hires_j,22.325522,42.560278,11.1099996566772,108728,,,-4.83275833388398,0.3349,2459025.06144034
102121,btr.506,apf,11.758706,65.540806,8.75,236000000,,,-4.60708176522816,0.308930163516,2458871.83400887
